,Parameters,Accuracy,Loss
32,"(0.5, 0.0001, 5)",0.5478947382224234,4.6133035609596655
33,"(0, 0.0001, 1)",0.5478947382224234,1.6533791265989606
34,"(0.75, 0.01, 1)",0.546842098236084,5.201106799276252
35,"(0, 0.0001, 3)",0.5468420966675407,4.963218789351614
36,"(0.25, 0.0001, 2)",0.5463157907912606,3.3341878401605705
37,"(0.5, 1e-05, 1)",0.5452631523734645,1.1264372154286033
38,"(0.25, 0.001, 3)",0.5442105312096445,5.6053212818346525
39,"(0.25, 0.001, 5)",0.5426315806413952,5.4708147676367505
40,"(0, 1e-05, 5)",0.5426315775043086,2.240866654797604
41,"(0.1, 0.0001, 4)",0.542631574367222,5.084750451539692
42,"(0.25, 0.0001, 5)",0.5410526300731459,4.951937688024421
43,"(0.5, 1e-05, 5)",0.5394736873476129,1.1427177316264103
44,"(0.1, 0.0001, 1)",0.5394736795048964,1.5859740094134682
45,"(0.5, 0.01, 1)",0.5378947352108202,5.663296963039198
46,"(0.25, 0.001, 2)",0.5373684183547371,5.3944864147587825
47,"(0.1, 0.0001, 2)",0.5357894740606609,3.84687550444352
48,"(0, 0.001, 4)",0.5357894724921176,6.172346416272615
49,"(0.25, 0.0001, 4)",0.5352631540674913,4.913694055456864
50,"(0.25, 0.001, 4)",0.534736841917038,5.854347894066258
51,"(0, 0.0001, 4)",0.5347368387799514,5.263556969793219
52,"(0, 0.001, 5)",0.5326315776297921,6.231528231972142
53,"(0.9, 0.0001, 2)",0.5321052607737089,1.4320071716057627
54,"(0.5, 0.001, 1)",0.5315789486232557,4.027184047197041
55,"(0.1, 0.001, 3)",0.5315789439176258,5.56129819468448
56,"(0.5, 0.001, 5)",0.529473685904553,5.00573626317476
57,"(0.9, 0.01, 1)",0.5294736811989232,3.6705463560003984
58,"(0, 0.0001, 2)",0.5284210537609301,4.359598448402004
59,"(0.75, 0.001, 3)",0.5284210506238436,4.749905824661255
60,"(0.1, 0.001, 2)",0.5284210459182137,5.803149900938335
61,"(0.5, 0.001, 2)",0.5278947384733903,5.279657853277106
62,"(0.1, 0.001, 4)",0.5278947306306738,6.064822749087685
63,"(0.5, 0.01, 2)",0.5268421047612241,5.229036582143683
64,"(0.75, 1e-05, 2)",0.5263157894736842,1.149334026010413
65,"(0.9, 0.001, 2)",0.5263157863365976,3.302367373516685
66,"(0.5, 0.001, 4)",0.5257894757546877,5.3372336939761515
67,"(0, 0.0001, 5)",0.5236842036247253,5.4482573208056
68,"(0, 0.001, 3)",0.5226315714811024,6.16467221159684
69,"(0.75, 1e-05, 1)",0.5215789377689362,1.1761346867209987
70,"(0.25, 0.001, 1)",0.5210526303241128,4.3580495683770435
71,"(0, 0.01, 4)",0.5194736860300365,6.368203890951056
72,"(0, 0.01, 1)",0.5178947370303305,5.623063137656764
73,"(0.1, 0.001, 1)",0.5152631558870014,4.603017568588257
74,"(0, 0.01, 3)",0.5121052578875893,7.749284443102385
75,"(0.1, 0.01, 2)",0.5110526273125097,6.421908905631618
76,"(0.25, 0.01, 1)",0.5100000061486897,6.150008703532972
77,"(0.25, 0.01, 4)",0.5099999936003434,5.482919128317582
78,"(0, 0.001, 1)",0.5089473661623503,4.71304578530161
79,"(0.1, 0.0001, 5)",0.5078947387243572,5.22433254593297
80,"(0.1, 0.01, 3)",0.5010526274379931,6.033960769050999
81,"(0.1, 0.01, 4)",0.5005263137189966,5.933927460720665
82,"(0.1, 0.01, 5)",0.4994736831439169,5.2202729425932235
83,"(0.75, 0.01, 2)",0.4994736800068303,4.055606220897875
84,"(0.75, 0.001, 4)",0.4952631498637952,4.080158584996274
85,"(0.25, 0.01, 3)",0.4921052581385562,5.729060060099552
86,"(0.5, 0.01, 3)",0.4894736848379436,4.711291614331697
87,"(0.75, 0.0001, 4)",0.48947368326940033,4.995132396095677
88,"(0.25, 0.01, 5)",0.4873684158450679,4.018736826746087
89,"(0, 0.01, 2)",0.4863157852699882,7.535305299256978
90,"(0.1, 0.01, 1)",0.4763157822583851,6.504382334257427
91,"(0.9, 1e-05, 1)",0.4757894701079318,1.2359893698441355
92,"(0.25, 0.01, 2)",0.4757894701079318,6.379562001479299
93,"(0.1, 0.001, 5)",0.4747368379643089,6.323217442161159
94,"(0.75, 0.001, 5)",0.47315789680731923,4.065396823381123
95,"(0.9, 0.0001, 3)",0.4710526262459002,2.707809805870056
96,"(0, 0.001, 2)",0.4673684160960348,6.112916017833509
97,"(0.9, 0.001, 3)",0.466315790226585,3.210866840262162
98,"(0.75, 0.0001, 5)",0.4647368380897923,4.932356156800923
99,"(0.75, 1e-05, 4)",0.46368421065179927,1.2647088264164172
100,"(0.75, 1e-05, 5)",0.46368420908325597,1.3802369582025629
101,"(0.5, 0.01, 4)",0.4615789447960101,4.237581365986874
102,"(0.9, 0.01, 2)",0.4599999926592174,2.5055835184298063
103,"(0.5, 0.01, 5)",0.45421052449627924,3.4635390419709053
104,"(0.5, 1e-07, 5)",0.4526315754965732,1.5985069902319657
105,"(0.75, 1e-05, 3)",0.45210526020903335,1.1991517167342336
106,"(0.25, 1e-06, 1)",0.44999999905887406,1.3748559700815302
107,"(0.5, 1e-06, 3)",0.4478947363401714,1.3953696426592375
108,"(0.75, 0.1, 4)",0.4473684226211749,8.907368559586374
109,"(0.1, 0.1, 2)",0.4473684194840883,8.907368584683066
110,"(0, 1e-06, 1)",0.4473684194840883,1.373999181546663
111,"(0.9, 1e-06, 2)",0.44736841634700175,1.5383903792029934
112,"(0.25, 0.1, 4)",0.44684210733363505,8.91585181888781
